Organisation,Year,Launches
ESA,1981,2
MHI,1981,2
NASA,1981,2
Martin Marietta,1981,4
General Dynamics,1981,6
RVSN USSR,1981,51
CASC,1982,1
ESA,1982,1
MHI,1982,1
US Air Force,1982,1
General Dynamics,1982,3
NASA,1982,3
Martin Marietta,1982,4
RVSN USSR,1982,53
CASC,1983,1
ISAS,1983,1
ISRO,1983,1
US Air Force,1983,1
ESA,1983,2
MHI,1983,2
Martin Marietta,1983,2
NASA,1983,4
General Dynamics,1983,6
RVSN USSR,1983,46
ESA,1984,1
ISAS,1984,1
US Air Force,1984,1
MHI,1984,2
Arianespace,1984,3
CASC,1984,3
General Dynamics,1984,5
NASA,1984,5
Martin Marietta,1984,6
RVSN USSR,1984,42
CASC,1985,1
ISAS,1985,2
Martin Marietta,1985,2
Arianespace,1985,4
General Dynamics,1985,5
NASA,1985,9
RVSN USSR,1985,51
Martin Marietta,1986,1
CASC,1986,2
MHI,1986,2
NASA,1986,2
Arianespace,1986,3
General Dynamics,1986,3
RVSN USSR,1986,49
ISAS,1987,1
ISRO,1987,1
Arianespace,1987,2
CASC,1987,2
MHI,1987,2
General Dynamics,1987,3
Martin Marietta,1987,3
RVSN USSR,1987,42
ASI,1988,1
ESA,1988,1
IAI,1988,1
ISRO,1988,1
General Dynamics,1988,2
MHI,1988,2
NASA,1988,2
Martin Marietta,1988,3
CASC,1988,4
Arianespace,1988,6
RVSN USSR,1988,36
Douglas,1989,1
General Dynamics,1989,1
ISAS,1989,1
ISRO,1989,1
MHI,1989,1
Martin Marietta,1989,4
Boeing,1989,5
NASA,1989,5
Arianespace,1989,7
RVSN USSR,1989,26
IAI,1990,1
ISAS,1990,1
Lockheed,1990,1
Northrop,1990,1
General Dynamics,1990,2
MHI,1990,4
CASC,1990,5
Martin Marietta,1990,5
Arianespace,1990,6
NASA,1990,6
Boeing,1990,11
RVSN USSR,1990,37
CASC,1991,1
ISAS,1991,1
Northrop,1991,1
Yuzhmash,1991,1
MHI,1991,2
Martin Marietta,1991,2
General Dynamics,1991,4
Boeing,1991,5
NASA,1991,6
Arianespace,1991,8
RVSN USSR,1991,28
MHI,1992,1
Martin Marietta,1992,3
CASC,1992,4
General Dynamics,1992,5
Arianespace,1992,7
NASA,1992,8
RVSN USSR,1992,9
Boeing,1992,11
VKS RF,1992,14
CASC,1993,1
ISAS,1993,1
ISRO,1993,1
MITT,1993,1
Martin Marietta,1993,2
Northrop,1993,2
General Dynamics,1993,6
Arianespace,1993,7
Boeing,1993,7
NASA,1993,7
VKS RF,1993,26
General Dynamics,1994,2
ISRO,1994,2
MHI,1994,2
Boeing,1994,3
Northrop,1994,4
CASC,1994,5
Lockheed,1994,5
Martin Marietta,1994,5
NASA,1994,7
Arianespace,1994,8
VKS RF,1994,21
EER,1995,1
General Dynamics,1995,1
IAI,1995,1
ISAS,1995,1
MHI,1995,1
MITT,1995,1
RVSN USSR,1995,1
Northrop,1995,2
Boeing,1995,3
CASC,1995,3
ILS,1995,4
NASA,1995,7
Arianespace,1995,11
Lockheed,1995,12
VKS RF,1995,12
ESA,1996,1
ISRO,1996,1
MHI,1996,1
RVSN USSR,1996,1
CASC,1996,4
ILS,1996,5
Northrop,1996,5
Lockheed,1996,6
NASA,1996,7
VKS RF,1996,9
Arianespace,1996,10
Boeing,1996,10
AEB,1997,1
ESA,1997,1
ISAS,1997,1
ISRO,1997,1
MHI,1997,1
MITT,1997,2
Northrop,1997,5
CASC,1997,6
ILS,1997,7
VKS RF,1997,7
Lockheed,1997,8
NASA,1997,8
Arianespace,1997,11
Boeing,1997,11
ESA,1998,1
IAI,1998,1
ISAS,1998,1
KCST,1998,1
MHI,1998,1
RVSN USSR,1998,1
SRC,1998,1
ILS,1998,3
NASA,1998,5
CASC,1998,6
Lockheed,1998,7
Northrop,1998,8
VKS RF,1998,9
Arianespace,1998,10
Boeing,1998,13
AEB,1999,1
ISRO,1999,1
Kosmotras,1999,1
MHI,1999,1
Sea Launch,1999,2
ILS,1999,3
NASA,1999,3
CASC,1999,4
Northrop,1999,4
VKS RF,1999,6
Arianespace,1999,10
Lockheed,1999,10
Boeing,1999,11
Eurockot,2000,1
ISAS,2000,1
Kosmotras,2000,1
MITT,2000,1
ILS,2000,3
Sea Launch,2000,3
CASC,2000,4
NASA,2000,5
Northrop,2000,5
VKS RF,2000,6
Boeing,2000,7
Lockheed,2000,8
Arianespace,2000,12
CASC,2001,1
ILS,2001,1
MHI,2001,1
MITT,2001,1
Northrop,2001,1
ISRO,2001,2
